x     rho     p     u
0.00188 1 1 8.35926e-17
0.00189 1 1 8.35926e-17
0.0019 1 1 8.35926e-17
0.00191 1 1 8.35926e-17
0.00192 1 1 8.35925e-17
0.00193 1 1 8.35925e-17
0.00194 1 1 8.35924e-17
0.00195 1 1 8.35924e-17
0.00196 1 1 8.35923e-17
0.00197 1 1 8.35923e-17
0.00198 1 1 8.35923e-17
0.00199 1 1 8.35923e-17
0.002 1 1 8.35922e-17
0.00201 1 1 8.35922e-17
0.00202 1 1 8.35921e-17
0.00203 1 1 8.35921e-17
0.00204 1 1 8.35921e-17
0.00205 1 1 8.35921e-17
0.00206 1 1 8.3592e-17
0.00207 1 1 8.3592e-17
0.00208 1 1 8.35919e-17
0.00209 1 1 8.35919e-17
0.0021 1 1 8.35919e-17
0.00211 1 1 8.35919e-17
0.00212 1 1 8.35918e-17
0.00213 1 1 8.35918e-17
0.00214 1 1 8.35917e-17
0.00215 1 1 8.35917e-17
0.00216 1 1 8.35916e-17
0.00217 1 1 8.35916e-17
0.00218 1 1 8.35916e-17
0.00219 1 1 8.35916e-17
0.0022 1 1 8.35915e-17
0.00221 1 1 8.35915e-17
0.00222 1 1 8.35914e-17
0.00223 1 1 8.35914e-17
0.00224 1 1 8.35914e-17
0.00225 1 1 8.35914e-17
0.00226 1 1 8.35913e-17
0.00227 1 1 8.35913e-17
0.00228 1 1 8.35912e-17
0.00229 1 1 8.35912e-17
0.0023 1 1 8.35912e-17
0.00231 1 1 8.35912e-17
0.00232 1 1 8.35911e-17
0.00233 1 1 8.35911e-17
0.00234 1 1 8.3591e-17
0.00235 1 1 8.3591e-17
0.00236 1 1 8.3591e-17
0.00237 1 1 8.3591e-17
0.00238 1 1 8.35909e-17
0.00239 1 1 8.35909e-17
0.0024 1 1 8.35909e-17
0.00241 1 1 8.35909e-17
0.00242 1 1 8.35908e-17
0.00243 1 1 8.35908e-17
0.00244 1 1 8.35907e-17
0.00245 1 1 8.35907e-17
0.00246 1 1 8.35907e-17
0.00247 1 1 8.35907e-17
0.00248 1 1 8.35906e-17
0.00249 1 1 8.35906e-17
0.0025 1 1 8.35905e-17
0.00251 1 1 8.35905e-17
0.00252 1 1 8.35905e-17
0.00253 1 1 8.35905e-17
0.00254 1 1 8.35904e-17
0.00255 1 1 8.35904e-17
0.00256 1 1 8.35904e-17
0.00257 1 1 8.35904e-17
0.00258 1 1 8.35903e-17
0.00259 1 1 8.35903e-17
0.0026 1 1 8.35902e-17
0.00261 1 1 8.35902e-17
0.00262 1 1 8.35902e-17
0.00263 1 1 8.35902e-17
0.00264 1 1 8.35901e-17
0.00265 1 1 8.35901e-17
0.00266 1 1 8.35901e-17
0.00267 1 1 8.35901e-17
0.00268 1 1 8.359e-17
0.00269 1 1 8.359e-17
0.0027 1 1 8.35899e-17
0.00271 1 1 8.35899e-17
0.00272 1 1 8.35899e-17
0.00273 1 1 8.35899e-17
0.00274 1 1 8.35898e-17
0.00275 1 1 8.35898e-17
0.00276 1 1 8.35898e-17
0.00277 1 1 8.35898e-17
0.00278 1 1 8.35897e-17
0.00279 1 1 8.35897e-17
0.0028 1 1 8.35897e-17
0.00281 1 1 8.35897e-17
0.00282 1 1 8.35896e-17
0.00283 1 1 8.35896e-17
0.00284 1 1 8.35896e-17
0.00285 1 1 8.35896e-17
0.00286 1 1 8.35895e-17
0.00287 1 1 8.35895e-17
0.00288 1 1 8.35894e-17
0.00289 1 1 8.35894e-17
0.0029 1 1 8.35894e-17
0.00291 1 1 8.35894e-17
0.00292 1 1 8.35893e-17
0.00293 1 1 8.35893e-17
0.00294 1 1 8.35893e-17
0.00295 1 1 8.35893e-17
0.00296 1 1 8.35892e-17
0.00297 1 1 8.35892e-17
0.00298 1 1 8.35892e-17
0.00299 1 1 8.35892e-17
0.003 1 1 8.35891e-17
0.00301 1 1 8.35891e-17
0.00302 1 1 8.35891e-17
0.00303 1 1 8.35891e-17
0.00304 1 1 8.3589e-17
0.00305 1 1 8.3589e-17
0.00306 1 1 8.3589e-17
0.00307 1 1 8.3589e-17
0.00308 1 1 8.35889e-17
0.00309 1 1 8.35889e-17
0.0031 1 1 8.35889e-17
0.00311 1 1 8.35889e-17
0.00312 1 1 8.35888e-17
0.00313 1 1 8.35888e-17
0.00314 1 1 8.35888e-17
0.00315 1 1 8.35888e-17
0.00316 1 1 8.35887e-17
0.00317 1 1 8.35887e-17
0.00318 1 1 8.35887e-17
0.00319 1 1 8.35887e-17
0.0032 1 1 8.35886e-17
0.00321 1 1 8.35886e-17
0.00322 1 1 8.35886e-17
0.00323 1 1 8.35886e-17
0.00324 1 1 8.35885e-17
0.00325 1 1 8.35885e-17
0.00326 1 1 8.35885e-17
0.00327 1 1 8.35885e-17
0.00328 1 1 8.35885e-17
0.00329 1 1 8.35885e-17
0.0033 1 1 8.35884e-17
0.00331 1 1 8.35884e-17
0.00332 1 1 8.35884e-17
0.00333 1 1 8.35884e-17
0.00334 1 1 8.35883e-17
0.00335 1 1 8.35883e-17
0.00336 1 1 8.35883e-17
0.00337 1 1 8.35883e-17
0.00338 1 1 8.35882e-17
0.00339 1 1 8.35882e-17
0.0034 1 1 8.35882e-17
0.00341 1 1 8.35882e-17
0.00342 1 1 8.35881e-17
0.00343 1 1 8.35881e-17
0.00344 1 1 8.35881e-17
0.00345 1 1 8.35881e-17
0.00346 1 1 8.3588e-17
0.00347 1 1 8.3588e-17
0.00348 1 1 8.3588e-17
0.00349 1 1 8.3588e-17
0.0035 1 1 8.3588e-17
0.00351 1 1 8.3588e-17
0.00352 1 1 8.35879e-17
0.00353 1 1 8.35879e-17
0.00354 1 1 8.35879e-17
0.00355 1 1 8.35879e-17
0.00356 1 1 8.35878e-17
0.00357 1 1 8.35878e-17
0.00358 1 1 8.35878e-17
0.00359 1 1 8.35878e-17
0.0036 1 1 8.35877e-17
0.00361 1 1 8.35877e-17
0.00362 1 1 8.35877e-17
0.00363 1 1 8.35877e-17
0.00364 1 1 8.35877e-17
0.00365 1 1 8.35877e-17
0.00366 1 1 8.35876e-17
0.00367 1 1 8.35876e-17
0.00368 1 1 8.35876e-17
0.00369 1 1 8.35876e-17
0.0037 1 1 8.35875e-17
0.00371 1 1 8.35875e-17
0.00372 1 1 8.35875e-17
0.00373 1 1 8.35875e-17
0.00374 1 1 8.35875e-17
0.00375 1 1 8.35875e-17
0.00376 1 1 8.35874e-17
0.00377 1 1 8.35874e-17
0.00378 1 1 8.35874e-17
0.00379 1 1 8.35874e-17
0.0038 1 1 8.35873e-17
0.00381 1 1 8.35873e-17
0.00382 1 1 8.35873e-17
0.00383 1 1 8.35873e-17
0.00384 1 1 8.35872e-17
0.00385 1 1 8.35872e-17
0.00386 1 1 8.35872e-17
0.00387 1 1 8.35872e-17
0.00388 1 1 8.35872e-17
0.00389 1 1 8.35872e-17
0.0039 1 1 8.35871e-17
0.00391 1 1 8.35871e-17
0.00392 1 1 8.35871e-17
0.00393 1 1 8.35871e-17
0.00394 1 1 8.3587e-17
0.00395 1 1 8.3587e-17
0.00396 1 1 8.3587e-17
0.00397 1 1 8.3587e-17
0.00398 1 1 8.3587e-17
0.00399 1 1 8.3587e-17
0.004 1 1 8.35869e-17
0.00401 1 1 8.35869e-17
0.00402 1 1 8.35869e-17
0.00403 1 1 8.35869e-17
0.00404 1 1 8.35868e-17
0.00405 1 1 8.35868e-17
0.00406 1 1 8.35868e-17
0.00407 1 1 8.35868e-17
0.00408 1 1 8.35868e-17
0.00409 1 1 8.35868e-17
0.0041 1 1 8.35867e-17
0.00411 1 1 8.35867e-17
0.00412 1 1 8.35867e-17
0.00413 1 1 8.35867e-17
0.00414 1 1 8.35866e-17
0.00415 1 1 8.35866e-17
0.00416 1 1 8.35866e-17
0.00417 1 1 8.35866e-17
0.00418 1 1 8.35866e-17
0.00419 1 1 8.35866e-17
0.0042 1 1 8.35865e-17
0.00421 1 1 8.35865e-17
0.00422 1 1 8.35865e-17
0.00423 1 1 8.35865e-17
0.00424 1 1 8.35864e-17
0.00425 1 1 8.35864e-17
0.00426 1 1 8.35864e-17
0.00427 1 1 8.35864e-17
0.00428 1 1 8.35863e-17
0.00429 1 1 8.35863e-17
0.0043 1 1 8.35863e-17
0.00431 1 1 8.35863e-17
0.00432 1 1 8.35863e-17
0.00433 1 1 8.35863e-17
