x     rho     p     u
0 1 1 0
1e-05 1 1 0
2e-05 1 1 0
3e-05 1 1 0
4e-05 1 1 0
5e-05 1 1 0
6e-05 1 1 0
7e-05 1 1 0
8e-05 1 1 0
9e-05 1 1 0
0.0001 1 1 0
0.00011 1 1 0
0.00012 1 1 0
0.00013 1 1 0
0.00014 1 1 0
0.00015 1 1 0
0.00016 1 1 0
0.00017 1 1 0
0.00018 1 1 0
0.00019 1 1 0
0.0002 1 1 0
0.00021 1 1 0
0.00022 1 1 0
0.00023 1 1 0
0.00024 1 1 0
0.00025 1 1 0
0.00026 1 1 0
0.00027 1 1 0
0.00028 1 1 0
0.00029 1 1 0
0.0003 1 1 0
0.00031 1 1 0
0.00032 1 1 0
0.00033 1 1 0
0.00034 1 1 0
0.00035 1 1 0
0.00036 1 1 0
0.00037 1 1 0
0.00038 1 1 0
0.00039 1 1 0
0.0004 1 1 0
0.00041 1 1 0
0.00042 1 1 0
0.00043 1 1 0
0.00044 1 1 0
0.00045 1 1 0
0.00046 1 1 0
0.00047 1 1 0
0.00048 1 1 0
0.00049 1 1 0
0.0005 1 1 0
0.00051 1 1 0
0.00052 1 1 0
0.00053 1 1 0
0.00054 1 1 0
0.00055 1 1 0
0.00056 1 1 0
0.00057 1 1 0
0.00058 1 1 0
0.00059 1 1 0
0.0006 1 1 0
0.00061 1 1 0
0.00062 1 1 0
0.00063 1 1 0
0.00064 1 1 0
0.00065 1 1 0
0.00066 1 1 0
0.00067 1 1 0
0.00068 1 1 0
0.00069 1 1 0
0.0007 1 1 0
0.00071 1 1 0
0.00072 1 1 0
0.00073 1 1 0
0.00074 1 1 0
0.00075 1 1 0
0.00076 1 1 0
0.00077 1 1 0
0.00078 1 1 0
0.00079 1 1 0
0.0008 1 1 0
0.00081 1 1 0
0.00082 1 1 0
0.00083 1 1 0
0.00084 1 1 0
0.00085 1 1 0
0.00086 1 1 0
0.00087 1 1 0
0.00088 1 1 0
0.00089 1 1 0
0.0009 1 1 0
0.00091 1 1 0
0.00092 1 1 0
0.00093 1 1 0
0.00094 1 1 0
0.00095 1 1 0
0.00096 1 1 0
0.00097 1 1 0
0.00098 1 1 0
0.00099 1 1 0
0.001 1 1 0
0.00101 1 1 0
0.00102 1 1 0
0.00103 1 1 0
0.00104 1 1 0
0.00105 1 1 0
0.00106 1 1 0
0.00107 1 1 0
0.00108 1 1 0
0.00109 1 1 0
0.0011 1 1 0
0.00111 1 1 0
0.00112 1 1 0
0.00113 1 1 0
0.00114 1 1 0
0.00115 1 1 0
0.00116 1 1 0
0.00117 1 1 0
0.00118 1 1 0
0.00119 1 1 0
0.0012 1 1 0
0.00121 1 1 0
0.00122 1 1 0
0.00123 1 1 0
0.00124 1 1 0
0.00125 1 1 0
0.00126 1 1 0
0.00127 1 1 0
0.00128 1 1 0
0.00129 1 1 0
0.0013 1 1 0
0.00131 1 1 0
0.00132 1 1 0
0.00133 1 1 0
0.00134 1 1 0
0.00135 1 1 0
0.00136 1 1 0
0.00137 1 1 0
0.00138 1 1 0
0.00139 1 1 0
0.0014 1 1 0
0.00141 1 1 0
0.00142 1 1 0
0.00143 1 1 0
0.00144 1 1 0
0.00145 1 1 0
0.00146 1 1 0
0.00147 1 1 0
0.00148 1 1 0
0.00149 1 1 0
0.0015 1 1 0
0.00151 1 1 0
0.00152 1 1 0
0.00153 1 1 0
0.00154 1 1 0
0.00155 1 1 0
0.00156 1 1 0
0.00157 1 1 0
0.00158 1 1 0
0.00159 1 1 0
0.0016 1 1 0
0.00161 1 1 0
0.00162 1 1 0
0.00163 1 1 0
0.00164 1 1 0
0.00165 1 1 0
0.00166 1 1 0
0.00167 1 1 0
0.00168 1 1 0
0.00169 1 1 0
0.0017 1 1 0
0.00171 1 1 0
0.00172 1 1 0
0.00173 1 1 0
0.00174 1 1 0
0.00175 1 1 0
0.00176 1 1 0
0.00177 1 1 0
0.00178 1 1 0
0.00179 1 1 0
0.0018 1 1 0
0.00181 1 1 0
0.00182 1 1 0
0.00183 1 1 0
0.00184 1 1 0
0.00185 1 1 0
0.00186 1 1 0
0.00187 1 1 0
0.00188 1 1 0
0.00189 1 1 0
0.0019 1 1 0
0.00191 1 1 0
0.00192 1 1 0
0.00193 1 1 0
0.00194 1 1 0
0.00195 1 1 0
0.00196 1 1 0
0.00197 1 1 0
0.00198 1 1 0
0.00199 1 1 0
0.002 1 1 0
0.00201 1 1 0
0.00202 1 1 0
0.00203 1 1 0
0.00204 1 1 0
0.00205 1 1 0
0.00206 1 1 0
0.00207 1 1 0
0.00208 1 1 0
0.00209 1 1 0
0.0021 1 1 0
0.00211 1 1 0
0.00212 1 1 0
0.00213 1 1 0
0.00214 1 1 0
0.00215 1 1 0
0.00216 1 1 0
0.00217 1 1 0
0.00218 1 1 0
0.00219 1 1 0
0.0022 1 1 0
0.00221 1 1 0
0.00222 1 1 0
0.00223 1 1 0
0.00224 1 1 0
0.00225 1 1 0
0.00226 1 1 0
0.00227 1 1 0
0.00228 1 1 0
0.00229 1 1 0
0.0023 1 1 0
0.00231 1 1 0
0.00232 1 1 0
0.00233 1 1 0
0.00234 1 1 0
0.00235 1 1 0
0.00236 1 1 0
0.00237 1 1 0
