x     rho     p     u
0 1 1 0
0.01 1 1 0
0.02 1 1 0
0.03 1 1 0
0.04 1 1 0
0.05 1 1 0
0.06 1 1 0
0.07 1 1 0
0.08 1 1 0
0.09 1 1 0
0.1 1 1 0
0.11 1 1 0
0.12 0.999957 0.99994 5.09192e-05
0.13 0.999957 0.99994 5.09192e-05
0.14 0.999563 0.999388 0.000517503
0.15 0.999563 0.999388 0.000517503
0.16 0.997819 0.996949 0.00258144
0.17 0.997819 0.996949 0.00258144
0.18 0.99284 0.990003 0.00848279
0.19 0.99284 0.990003 0.00848279
0.2 0.982415 0.975525 0.0208945
0.21 0.982415 0.975525 0.0208945
0.22 0.965047 0.951589 0.0417549
0.23 0.965047 0.951589 0.0417549
0.24 0.940581 0.918234 0.0715723
0.25 0.940581 0.918234 0.0715723
0.26 0.910011 0.877132 0.109603
0.27 0.910011 0.877132 0.109603
0.28 0.874881 0.83067 0.15446
0.29 0.874881 0.83067 0.15446
0.3 0.83677 0.781196 0.204639
0.31 0.83677 0.781196 0.204639
0.32 0.797033 0.730652 0.258789
0.33 0.797033 0.730652 0.258789
0.34 0.756739 0.6805 0.315789
0.35 0.756739 0.6805 0.315789
0.36 0.716697 0.631784 0.374718
0.37 0.716697 0.631784 0.374718
0.38 0.677524 0.585238 0.434794
0.39 0.677524 0.585238 0.434794
0.4 0.639706 0.541378 0.495302
0.41 0.639706 0.541378 0.495302
0.42 0.603648 0.500581 0.555517
0.43 0.603648 0.500581 0.555517
0.44 0.569717 0.463146 0.614643
0.45 0.569717 0.463146 0.614643
0.46 0.538272 0.429335 0.67174
0.47 0.538272 0.429335 0.67174
0.48 0.509668 0.399399 0.725688
0.49 0.509668 0.399399 0.725688
0.5 0.484249 0.373578 0.77517
0.51 0.484249 0.373578 0.77517
0.52 0.462285 0.35208 0.818757
0.53 0.462285 0.35208 0.818757
0.54 0.443866 0.335014 0.855117
0.55 0.443866 0.335014 0.855117
0.56 0.428738 0.322301 0.883353
0.57 0.428738 0.322301 0.883353
0.58 0.416146 0.313584 0.903371
0.59 0.416146 0.313584 0.903371
0.6 0.404783 0.308206 0.916057
0.61 0.404783 0.308206 0.916057
0.62 0.392962 0.305301 0.92308
0.63 0.392962 0.305301 0.92308
0.64 0.379077 0.303976 0.926389
0.65 0.379077 0.303976 0.926389
0.66 0.362226 0.30349 0.927683
0.67 0.362226 0.30349 0.927683
0.68 0.342725 0.303354 0.928113
0.69 0.342725 0.303354 0.928113
0.7 0.322187 0.30332 0.92827
0.71 0.322187 0.30332 0.92827
0.72 0.303004 0.303305 0.928346
0.73 0.303004 0.303305 0.928346
0.74 0.287398 0.303308 0.928353
0.75 0.287398 0.303308 0.928353
0.76 0.276494 0.303279 0.928074
0.77 0.276494 0.303279 0.928074
0.78 0.270258 0.303454 0.928206
0.79 0.270258 0.303454 0.928206
0.8 0.267377 0.303589 0.928171
0.81 0.267377 0.303589 0.928171
0.82 0.265103 0.301574 0.921944
0.83 0.265103 0.301574 0.921944
0.84 0.250324 0.279351 0.854848
0.85 0.250324 0.279351 0.854848
0.86 0.14407 0.123428 0.163224
0.87 0.14407 0.123428 0.163224
0.88 0.12534 0.100382 0.00288178
0.89 0.12534 0.100382 0.00288178
0.9 0.125 0.1 0
0.91 0.125 0.1 0
0.92 0.125 0.1 0
0.93 0.125 0.1 0
0.94 0.125 0.1 0
0.95 0.125 0.1 0
0.96 0.125 0.1 0
0.97 0.125 0.1 0
0.98 0.125 0.1 0
0.99 0.125 0.1 0
